gender,age,study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,internet_access,parental_support,final_score
Male,17,6.0,68.3,57.9,4,7.0,No,Yes,Medium,57.2
Female,17,2.9,55.6,56.5,6,7.2,Yes,Yes,Low,48.3
Male,18,3.9,88.2,52.8,3,5.2,No,Yes,High,51.4
Female,22,1.9,92.5,47.1,4,6.2,Yes,Yes,Low,48.3
Male,21,2.3,88.3,54.1,7,7.3,No,Yes,Medium,57.1
Male,19,5.8,61.4,59.5,10,8.9,No,Yes,High,71.5
Male,19,2.3,88.9,77.1,8,7.8,Yes,Yes,Medium,65.9
Female,22,4.7,89.6,43.4,4,8.7,No,Yes,High,56.4
Female,22,6.0,84.6,51.6,6,7.9,No,Yes,High,72.2
Male,19,1.7,89.5,84.5,9,7.2,Yes,Yes,Medium,58.8
Female,19,5.0,93.1,48.1,8,5.4,Yes,Yes,Low,58.4
Female,18,2.8,82.6,58.8,4,7.5,Yes,Yes,High,55.8
Female,20,7.7,59.0,87.6,3,7.3,No,No,Medium,69.3
Female,21,4.4,76.9,48.5,9,7.2,No,Yes,Low,52.3
Female,17,6.6,58.5,44.6,3,6.7,Yes,Yes,High,47.7
Female,20,4.9,73.3,66.6,7,6.9,No,Yes,Low,59.1
Male,22,1.3,73.3,56.6,9,6.0,No,Yes,High,55.8
Male,19,5.4,58.0,71.0,5,6.8,No,Yes,Low,62.2
Female,20,7.7,70.7,84.2,10,5.4,No,Yes,Low,67.7
Male,21,5.2,60.0,47.5,9,8.1,No,Yes,Medium,64.7
Male,22,6.7,91.4,71.9,8,5.3,No,No,High,82.6
Male,17,7.2,97.6,67.8,9,4.9,Yes,Yes,Medium,72.0
Male,17,2.6,58.3,47.9,6,6.5,No,Yes,High,43.3
Female,21,2.5,98.0,74.3,10,7.5,No,Yes,Medium,64.4
Male,21,5.3,78.5,55.1,6,6.5,No,Yes,Medium,58.0
Male,19,3.9,68.5,66.8,5,5.7,No,Yes,Medium,56.2
Female,17,6.9,58.5,44.5,9,7.0,No,Yes,Medium,59.0
Female,22,7.3,77.5,65.3,3,6.1,No,No,Medium,66.6
Male,20,3.5,90.8,56.9,3,8.7,Yes,No,Medium,48.6
Male,22,2.7,86.8,85.2,4,8.7,Yes,Yes,Medium,53.7
Male,18,6.5,57.3,43.1,7,6.8,No,Yes,High,64.7
Male,18,2.9,58.3,63.0,8,6.0,No,Yes,Medium,43.5
Male,21,6.8,73.1,65.2,10,7.8,Yes,Yes,High,75.3
Male,19,4.0,68.3,79.9,7,4.7,No,Yes,Low,70.7
Female,18,5.7,65.5,71.6,9,6.6,No,Yes,Medium,66.6
Male,17,1.7,67.6,76.7,7,6.0,Yes,Yes,Medium,50.6
Male,22,5.4,91.2,82.7,4,8.6,Yes,Yes,Medium,68.1
Female,22,4.2,96.8,87.4,7,4.6,Yes,Yes,Medium,67.5
Female,21,5.1,73.2,57.3,10,7.0,No,Yes,Medium,65.0
Female,20,2.2,95.8,69.6,5,7.8,Yes,Yes,Medium,60.7
Female,21,6.2,69.5,86.2,4,6.7,Yes,Yes,High,64.6
Male,20,7.0,76.4,94.4,5,4.9,No,Yes,Medium,77.3
Male,21,2.5,65.2,88.9,9,8.9,Yes,Yes,High,71.3
Male,21,1.7,83.8,60.4,4,6.8,Yes,Yes,Medium,52.7
Male,21,1.2,99.1,50.7,9,7.3,Yes,Yes,Medium,53.3
Male,20,5.5,82.2,66.9,9,5.6,No,Yes,Medium,71.9
Male,20,5.2,71.1,80.8,7,6.7,No,Yes,Medium,64.5
Female,21,4.8,84.2,67.1,5,6.4,Yes,Yes,Medium,61.8
Male,18,2.6,60.5,66.6,9,4.8,Yes,Yes,Medium,51.9
Female,19,3.7,95.0,86.1,5,5.0,No,Yes,Low,54.0
Female,19,5.2,77.6,59.9,5,8.3,Yes,Yes,Medium,63.9
Male,19,4.5,75.2,87.3,4,5.6,Yes,Yes,Low,56.7
Female,20,7.9,81.4,62.4,6,5.4,Yes,Yes,Medium,63.6
Male,20,2.0,83.1,58.1,7,6.8,No,Yes,Medium,49.9
Female,18,5.9,58.2,65.0,9,8.0,No,Yes,High,72.0
Male,19,3.8,85.7,81.9,5,4.8,Yes,Yes,High,60.8
Female,19,4.0,65.9,46.9,8,7.1,No,Yes,Low,50.8
Male,21,6.0,87.1,50.8,6,5.0,Yes,Yes,High,62.7
Male,20,5.8,92.0,92.3,9,4.7,Yes,Yes,High,70.2
Male,19,7.9,91.2,49.7,8,4.7,No,No,Medium,58.6
Male,22,1.9,79.9,71.2,7,8.3,Yes,Yes,Medium,60.4
Male,18,1.7,78.4,71.9,7,5.0,No,Yes,High,52.9
Female,22,6.1,61.4,66.9,5,4.7,Yes,Yes,Medium,63.6
Female,22,5.0,89.9,75.5,5,6.5,No,Yes,High,70.2
Female,18,2.9,67.2,52.6,10,8.3,Yes,Yes,Low,59.5
Male,22,1.6,77.4,70.4,10,5.7,No,Yes,Medium,66.2
Female,19,1.6,67.8,60.5,9,6.4,Yes,Yes,Medium,54.2
Male,20,7.3,61.0,76.4,4,4.7,No,Yes,Medium,64.4
Male,18,2.3,83.3,47.8,6,6.5,Yes,Yes,High,50.6
Female,21,3.3,57.4,71.4,9,7.1,No,Yes,High,73.9
Female,22,2.6,88.7,50.2,6,7.1,Yes,No,Medium,61.1
Male,18,3.5,69.3,55.3,5,6.0,No,Yes,Low,46.9
Female,17,1.5,55.0,52.0,7,5.9,Yes,Yes,High,51.1
Male,17,4.6,78.0,50.1,5,5.0,Yes,Yes,Medium,59.0
Male,20,1.5,57.1,85.4,7,6.2,No,Yes,Medium,54.2
Male,19,6.6,67.4,55.7,10,4.9,Yes,Yes,Medium,63.1
Male,20,2.6,86.8,91.0,9,7.9,Yes,Yes,High,76.9
Male,20,4.8,57.8,93.3,10,8.8,No,Yes,High,76.7
Female,20,7.2,92.8,71.4,7,8.9,No,Yes,Medium,74.5
Female,20,5.6,55.2,47.9,5,8.4,Yes,No,Medium,50.7
Male,21,4.7,66.1,60.6,10,7.2,No,Yes,High,58.6
Male,21,3.3,88.3,83.9,3,7.7,No,Yes,Medium,59.8
Female,18,3.3,69.2,60.2,6,5.8,Yes,Yes,Medium,57.7
Female,17,5.7,59.6,44.8,8,7.3,No,No,Medium,55.5
Male,20,8.0,71.2,70.6,7,6.6,No,Yes,High,79.5
Female,18,5.6,67.2,86.5,7,6.7,No,Yes,Medium,64.6
Male,17,4.9,92.9,83.8,3,7.9,Yes,Yes,Medium,60.5
Female,22,6.1,69.1,49.6,9,5.8,No,Yes,Medium,60.9
Male,19,4.3,90.5,77.0,9,5.9,Yes,No,Medium,67.4
Female,21,1.4,95.1,52.1,9,8.7,Yes,Yes,Medium,61.5
Male,22,4.9,74.5,52.0,8,4.8,Yes,Yes,Low,51.8
Female,17,7.7,95.9,88.1,4,6.7,No,Yes,Medium,79.0
Female,22,2.2,72.0,53.7,3,8.6,No,Yes,Medium,54.9
Male,19,5.8,98.4,54.5,8,7.2,No,Yes,Low,62.7
Female,17,2.4,59.0,40.0,10,7.0,No,Yes,Low,53.0
Male,22,4.8,85.9,87.9,3,5.6,Yes,Yes,High,60.8
Female,21,1.7,77.2,83.6,7,6.0,Yes,Yes,High,66.8
Male,21,4.2,72.4,74.5,6,8.3,Yes,No,Medium,66.9
Female,18,6.3,83.5,81.3,3,7.0,Yes,Yes,High,72.7
Male,22,3.4,86.7,48.4,4,6.8,No,Yes,Medium,49.3
Female,20,5.7,55.2,65.2,5,4.9,No,Yes,High,44.9
Male,22,6.6,62.5,59.3,10,4.6,Yes,Yes,Medium,63.2
Female,17,7.5,87.1,45.2,8,8.8,Yes,Yes,Medium,66.5
Male,17,2.6,85.0,66.7,10,6.2,Yes,Yes,Low,55.3
Male,22,3.8,98.5,90.6,10,7.2,Yes,Yes,Medium,76.0
Male,19,2.1,89.2,42.2,3,4.9,No,Yes,High,42.1
Female,21,7.9,97.8,56.0,3,7.6,No,Yes,Medium,60.4
Male,17,7.5,86.6,51.4,4,8.7,No,Yes,Medium,58.2
Female,21,4.8,68.4,53.1,6,7.1,No,No,Low,48.1
Male,17,6.9,59.7,90.0,3,5.1,Yes,Yes,High,72.5
Female,18,4.6,90.2,65.7,3,7.1,Yes,Yes,Medium,55.1
Male,20,5.4,84.0,65.6,6,7.9,No,Yes,Medium,61.1
Female,17,1.6,57.2,81.8,4,6.3,No,No,High,49.3
Female,21,6.3,71.2,48.5,8,8.5,Yes,Yes,Low,63.1
Male,18,1.9,98.1,66.8,10,7.4,No,Yes,Medium,64.6
Female,17,6.8,77.5,63.6,8,8.5,No,Yes,High,58.8
Female,19,6.5,74.5,72.8,3,7.3,No,Yes,Medium,66.1
Male,20,6.0,75.6,95.0,6,5.1,No,Yes,Medium,75.5
Female,17,1.3,64.4,82.3,3,5.9,No,Yes,Medium,43.0
Female,18,3.1,71.6,61.9,9,5.4,No,Yes,High,55.4
Female,19,2.8,71.6,85.5,5,8.6,Yes,No,Low,55.2
Male,22,3.5,57.4,49.4,8,7.9,Yes,Yes,High,54.6
Female,18,1.6,89.5,41.7,9,7.5,Yes,Yes,High,57.5
Male,18,7.6,73.7,51.2,7,5.9,Yes,Yes,Medium,55.8
Female,19,4.9,92.0,58.7,5,5.3,No,Yes,High,54.9
Female,18,3.1,93.3,68.1,3,7.9,No,Yes,Medium,61.6
Female,19,3.8,64.5,73.8,4,6.6,Yes,Yes,Medium,51.6
Male,17,4.1,84.6,90.1,8,5.5,No,Yes,High,76.2
Female,19,5.2,76.3,68.0,7,7.3,Yes,Yes,High,69.6
Female,19,4.6,94.6,67.6,5,4.7,Yes,Yes,Low,48.7
Male,20,7.4,64.7,42.8,8,6.0,Yes,Yes,Medium,65.0
Female,19,4.5,85.5,41.9,6,6.6,Yes,Yes,Medium,54.2
Male,19,7.9,82.3,70.3,4,5.2,Yes,Yes,Medium,64.3
Male,22,7.0,68.3,64.1,5,8.9,No,Yes,Medium,65.6
Female,17,2.5,61.1,86.2,6,5.4,Yes,Yes,Low,56.4
Male,20,7.5,84.3,48.8,9,5.1,No,Yes,Medium,69.2
Female,22,1.8,88.2,41.4,3,5.4,Yes,Yes,Medium,47.2
Male,21,6.7,69.2,64.7,6,8.0,Yes,Yes,Medium,68.0
Male,17,3.7,84.0,53.1,5,6.4,Yes,Yes,High,50.6
Female,17,7.1,72.8,42.7,10,7.0,No,Yes,High,66.2
Male,21,7.1,87.1,79.9,5,4.6,Yes,Yes,Medium,81.8
Male,19,6.6,64.0,46.1,10,4.7,No,Yes,Medium,64.5
Male,22,6.5,95.1,73.5,9,6.5,No,Yes,Medium,84.0
Male,18,3.1,67.9,55.5,3,8.2,No,Yes,Medium,54.2
Male,20,1.6,71.6,49.5,10,8.5,No,No,Medium,54.5
Female,18,3.8,57.6,60.9,10,4.9,Yes,Yes,High,63.2
Male,21,2.2,60.0,84.1,6,6.9,Yes,Yes,Low,54.2
Female,17,5.9,78.2,61.6,6,8.6,Yes,Yes,Low,54.3
Male,17,3.4,67.0,81.3,3,6.2,No,Yes,Low,50.7
Female,20,7.8,92.6,46.9,6,8.2,Yes,Yes,Medium,72.9
Female,17,5.5,55.7,82.5,8,5.1,Yes,Yes,Low,60.4
Male,17,6.8,72.1,53.0,3,8.7,No,Yes,High,62.8
Male,20,1.9,70.2,77.3,4,7.9,Yes,Yes,Medium,57.8
Male,22,7.0,55.9,71.1,10,8.7,No,No,Low,64.4
Female,22,7.5,60.6,91.1,5,7.5,No,Yes,Medium,68.7
Male,20,4.4,73.6,61.3,4,6.1,Yes,Yes,High,52.9
Female,21,5.2,77.2,43.6,10,8.7,Yes,Yes,Medium,60.9
Female,17,6.4,73.2,41.1,8,5.7,Yes,Yes,Medium,54.2
Female,17,2.2,78.9,85.5,10,6.0,No,Yes,High,63.3
Male,21,4.5,81.8,68.9,10,7.7,No,Yes,Medium,74.3
Male,22,3.8,55.4,82.6,10,7.9,No,Yes,Medium,62.3
Female,19,2.0,75.9,52.9,9,8.7,No,Yes,Medium,56.2
Female,19,3.6,98.4,59.0,8,5.4,No,Yes,Medium,57.1
Male,19,1.5,78.4,41.7,7,8.1,Yes,Yes,Medium,54.5
Female,22,1.2,85.5,92.9,7,7.8,Yes,Yes,Medium,69.3
Male,22,1.9,69.0,76.7,7,4.8,No,Yes,Medium,57.4
Female,21,7.7,89.8,91.3,3,6.2,Yes,No,Medium,72.7
Male,17,4.8,89.8,54.6,6,5.8,Yes,No,Low,53.8
Female,21,7.8,78.5,73.6,8,5.9,No,Yes,Medium,66.8
Male,21,4.0,98.9,77.3,4,8.9,Yes,Yes,Medium,73.3
Female,22,3.2,60.6,57.5,9,7.4,No,Yes,High,56.0
Male,19,4.5,55.8,86.6,4,7.7,No,Yes,Medium,62.6
Male,18,4.1,89.7,92.1,4,8.9,Yes,No,Medium,71.5
Female,17,1.7,91.3,88.7,4,6.2,No,Yes,Medium,53.8
Female,22,5.5,60.4,80.6,9,8.1,Yes,Yes,Low,72.8
Male,19,2.5,67.0,55.3,7,6.5,Yes,Yes,Low,52.7
Female,18,5.3,55.8,55.5,4,8.4,Yes,Yes,Medium,63.0
Male,18,5.6,68.2,93.0,9,5.3,Yes,Yes,Medium,70.8
Female,22,2.1,89.8,40.6,9,8.8,No,Yes,Medium,48.7
Male,20,1.4,78.3,79.4,6,5.5,Yes,Yes,High,55.7
Male,17,6.5,70.7,78.8,9,6.0,Yes,Yes,Low,70.3
Male,18,4.2,71.7,74.2,7,7.9,Yes,Yes,Medium,64.4
Male,22,1.4,55.1,94.5,4,6.3,No,Yes,Medium,50.4
Male,22,8.0,68.5,57.2,9,7.2,No,Yes,Medium,61.1
Male,19,1.4,84.1,58.7,3,6.5,Yes,Yes,Medium,48.4
Female,20,5.9,98.8,44.3,9,7.8,Yes,Yes,Medium,75.9
Female,17,7.9,93.1,64.4,5,5.5,Yes,No,Medium,69.2
Female,21,2.7,56.1,54.4,5,4.8,Yes,No,High,50.6
Male,19,2.0,95.4,58.9,5,5.8,No,No,High,55.0
Male,18,1.8,90.2,85.9,9,6.6,No,Yes,Medium,65.8
Male,18,3.1,90.1,91.5,7,5.3,Yes,Yes,Low,67.0
Male,19,1.7,75.6,50.2,4,6.1,Yes,Yes,High,49.4
Female,22,5.8,72.9,60.5,8,6.3,Yes,Yes,Medium,63.0
Female,18,1.4,68.6,91.1,8,4.8,No,No,Medium,53.3
Male,20,4.6,58.0,43.4,8,7.1,Yes,Yes,Medium,54.2
Female,17,8.0,65.3,45.1,7,8.5,No,Yes,Low,62.5
Female,20,6.7,66.1,49.0,6,5.2,No,No,Medium,54.3
Male,18,5.3,76.8,72.7,10,7.2,Yes,Yes,Medium,72.7
Female,21,3.1,88.6,48.3,3,7.5,No,Yes,Medium,50.0
Male,17,5.4,76.3,93.2,3,6.4,No,Yes,Medium,67.4
Female,17,4.7,57.6,64.6,5,7.7,No,Yes,High,64.6
Male,19,4.0,98.1,67.6,5,6.3,Yes,Yes,Medium,60.8
Male,19,1.9,97.4,53.6,9,6.8,Yes,Yes,Low,49.1
Male,21,7.2,90.3,65.9,8,4.5,No,Yes,Medium,67.0
Male,22,4.1,99.6,76.4,9,7.6,No,Yes,High,73.0
Female,17,2.4,79.5,81.3,10,7.5,No,Yes,High,60.1
Male,21,3.6,98.3,81.5,8,4.7,No,Yes,Medium,71.2
Male,19,3.9,58.4,71.8,5,6.2,No,Yes,Medium,54.9
Male,19,6.8,71.5,89.7,4,8.9,No,Yes,High,74.7
Female,17,6.1,65.1,85.0,6,6.4,Yes,No,Medium,73.1
Male,20,6.4,63.8,81.6,9,6.8,No,Yes,Low,65.5
Female,18,1.1,61.3,43.1,6,8.6,No,Yes,Medium,46.2
Male,19,3.9,83.0,40.4,6,7.7,No,Yes,Medium,51.6
Female,22,4.4,90.2,51.7,6,7.1,No,Yes,Medium,56.1
Female,22,1.1,81.0,76.5,5,8.1,Yes,Yes,Medium,51.6
Male,19,2.8,61.6,62.6,3,8.4,No,Yes,Medium,56.0
Female,20,6.3,91.5,62.1,5,6.6,No,Yes,High,64.1
Male,20,2.0,83.6,88.7,6,6.6,Yes,Yes,High,67.2
Male,21,4.7,72.5,89.3,5,6.2,No,Yes,High,57.8
Male,22,2.5,85.3,90.0,6,8.9,Yes,No,High,72.8
Female,21,1.1,66.7,57.3,7,7.6,Yes,Yes,Low,52.0
Female,22,2.7,70.5,78.0,8,4.9,Yes,No,Medium,58.9
Male,18,7.8,96.3,54.9,3,8.4,Yes,Yes,Medium,64.7
Male,18,6.6,68.1,50.5,7,6.7,No,Yes,High,65.2
Female,17,7.7,76.1,50.2,4,4.8,No,Yes,Medium,67.7
Male,21,4.4,95.1,58.8,5,7.0,No,Yes,High,53.0
Male,19,1.8,86.8,63.6,4,6.4,No,Yes,Medium,52.6
Male,21,4.8,57.8,85.7,9,8.4,Yes,Yes,High,69.6
Female,19,4.2,61.6,46.6,5,5.4,Yes,Yes,Low,45.9
Female,20,6.9,55.4,80.4,10,8.2,No,Yes,Medium,73.1
Female,21,1.7,83.4,69.2,10,7.0,Yes,Yes,High,62.7
Male,20,4.4,75.1,55.8,8,4.7,No,Yes,Low,53.5
Male,18,2.1,61.0,67.1,7,8.9,No,Yes,High,52.7
Male,18,3.3,98.1,56.5,8,6.8,No,Yes,Low,61.0
Female,17,6.2,78.8,72.8,9,5.8,No,Yes,Medium,61.2
Male,21,4.3,65.9,63.9,6,6.6,Yes,Yes,Medium,60.1
Male,20,3.6,77.5,49.0,8,8.4,Yes,Yes,Medium,57.0
Male,19,3.8,85.6,46.4,8,5.9,No,Yes,Medium,49.9
Male,18,4.2,58.4,70.1,10,5.4,Yes,Yes,Medium,64.1
Female,18,6.5,67.4,89.6,6,5.1,No,No,Low,56.6
Female,19,7.2,91.3,58.9,10,5.8,Yes,Yes,Low,70.1
Male,20,7.7,75.7,80.3,5,8.0,No,Yes,Medium,64.5
Female,20,6.5,79.6,76.2,6,6.6,No,Yes,Medium,69.3
Female,21,3.2,74.5,91.2,7,5.5,No,Yes,High,61.4
Male,21,5.8,57.0,85.2,8,5.2,Yes,Yes,Medium,65.9
Male,22,4.1,62.5,71.2,10,6.0,Yes,Yes,Medium,65.8
Female,22,2.8,75.0,76.1,6,8.7,No,Yes,Medium,55.8
Male,17,6.9,64.4,89.4,9,6.0,Yes,Yes,Low,72.2
Female,18,1.3,57.2,62.0,9,8.9,No,Yes,Medium,47.1
Male,21,7.3,93.0,58.0,8,6.7,No,Yes,High,75.2
Female,20,4.2,99.2,40.6,7,5.3,No,Yes,High,65.1
Male,19,5.5,90.7,85.5,4,8.5,No,Yes,Medium,80.3
Female,20,5.6,93.4,84.1,10,6.6,Yes,Yes,Medium,77.4
Female,18,7.3,65.9,45.7,7,7.7,No,Yes,High,68.2
Female,22,5.5,98.2,71.7,3,8.9,No,Yes,Medium,55.7
Male,20,5.3,63.9,65.5,3,4.7,Yes,Yes,Low,57.3
Female,17,1.5,97.8,46.5,3,4.9,No,No,Low,41.3
Female,18,4.6,99.8,93.9,8,7.7,No,Yes,Medium,72.3
Male,22,2.1,87.0,51.8,9,5.8,Yes,Yes,High,64.0
Male,19,6.2,99.2,43.7,5,5.3,Yes,Yes,Medium,57.4
Female,22,4.6,80.6,72.7,10,4.7,No,Yes,Low,60.7
Female,17,5.8,66.7,80.6,9,4.6,Yes,Yes,Medium,71.1
Male,18,1.3,74.7,41.8,5,8.0,No,Yes,High,41.6
Male,19,1.6,81.7,76.2,5,5.1,No,No,High,58.1
Male,17,6.0,58.3,69.3,9,6.6,Yes,Yes,Medium,62.6
Male,22,1.5,83.0,45.7,10,7.2,Yes,Yes,Medium,50.0
Male,17,1.5,99.2,49.5,8,6.4,No,Yes,Low,45.4
Female,18,1.1,63.6,71.2,7,4.6,Yes,Yes,High,56.9
Male,21,7.7,90.7,56.3,5,8.0,No,Yes,High,66.5
Female,17,6.2,95.9,91.6,4,4.5,Yes,Yes,Medium,63.0
Female,17,3.5,97.5,85.0,9,7.9,No,Yes,High,70.9
Female,22,3.1,98.2,94.1,9,8.5,No,Yes,Medium,72.8
Male,22,3.4,78.5,54.3,3,6.4,Yes,Yes,Low,41.1
Female,19,6.4,99.0,93.3,7,6.9,Yes,No,Medium,71.7
Female,22,5.6,89.1,63.7,3,6.6,Yes,Yes,Medium,68.9
Male,20,2.3,62.3,59.1,9,6.3,Yes,Yes,Medium,51.2
Female,18,2.2,76.5,42.8,9,8.5,No,Yes,Medium,51.7
Female,18,1.7,87.3,42.9,5,8.5,No,Yes,Medium,45.4
Male,21,5.6,66.1,78.1,7,6.0,Yes,No,Medium,63.1
Female,21,6.4,83.8,65.2,6,7.3,No,Yes,Medium,68.1
Female,18,2.9,85.0,52.5,4,8.7,No,Yes,Low,52.4
Female,21,1.1,62.3,73.8,10,8.8,Yes,Yes,Medium,59.0
Male,19,1.6,80.4,53.9,5,6.8,Yes,Yes,Medium,42.9
Male,22,7.8,89.7,71.8,9,6.5,No,No,Medium,80.2
Male,18,3.1,77.5,59.8,10,5.8,No,Yes,High,61.6
Female,21,6.4,55.5,85.3,5,8.8,No,Yes,High,77.8
Female,18,5.4,55.4,85.1,4,5.1,No,Yes,High,51.5
Male,20,3.7,71.1,66.3,9,7.1,Yes,No,Medium,62.7
Female,17,2.4,96.7,59.3,4,5.8,No,Yes,Low,55.8
Female,22,1.8,65.3,59.9,10,5.8,No,Yes,Medium,52.4
Male,18,5.3,83.5,84.3,6,6.3,No,Yes,Medium,65.6
Male,17,6.4,65.0,58.0,5,9.0,Yes,Yes,Medium,63.7
Female,21,5.5,69.5,51.5,8,4.7,Yes,Yes,Low,53.4
Female,17,4.7,93.2,44.7,5,7.1,Yes,Yes,High,57.7
Female,22,1.3,87.8,65.7,3,4.9,No,Yes,Low,40.7
Male,18,7.8,59.3,66.5,7,5.2,Yes,Yes,High,66.8
Male,20,6.6,74.3,86.2,7,6.5,No,Yes,High,79.6
Male,21,3.0,56.3,52.2,3,6.8,Yes,Yes,Medium,47.2
Male,18,7.9,76.6,61.0,9,5.7,Yes,Yes,High,75.6
Female,22,5.2,84.8,84.5,7,5.9,No,Yes,Medium,71.4
Male,21,5.1,60.3,85.3,4,4.9,No,No,High,59.2
Male,19,6.2,68.0,61.2,10,5.9,No,Yes,Medium,62.8
Male,17,6.7,72.9,65.3,10,8.8,Yes,Yes,High,74.4
Male,22,5.6,96.4,56.7,7,8.8,No,Yes,Medium,65.8
Male,19,1.9,99.7,91.3,7,6.0,Yes,Yes,High,63.0
Female,18,3.4,57.0,46.5,3,7.1,Yes,Yes,Medium,42.7
Female,20,7.5,89.2,91.4,9,8.6,No,Yes,Medium,80.1
Male,21,2.6,71.7,77.6,6,4.5,Yes,Yes,High,68.1
Female,17,3.6,72.7,69.2,7,8.1,Yes,No,High,51.0
Male,21,4.0,88.9,41.8,8,8.8,No,Yes,Medium,57.2
Male,18,4.1,96.3,66.2,7,4.9,No,Yes,Medium,68.0
Female,21,5.3,97.8,62.4,6,5.2,No,Yes,Medium,61.8
Female,17,7.6,81.0,48.9,3,8.8,Yes,Yes,High,68.2
Male,18,2.7,71.1,76.1,6,6.9,Yes,Yes,High,61.4
Male,21,1.9,90.4,93.4,3,4.6,Yes,Yes,High,56.1
Male,20,2.4,66.3,70.9,4,5.7,No,Yes,Low,36.0
Female,22,7.2,80.4,79.3,3,6.5,No,Yes,Medium,66.1
Male,18,5.5,71.1,43.8,4,7.6,No,No,Medium,47.8
Male,22,3.0,84.5,63.0,4,7.8,Yes,Yes,High,54.1
Male,18,6.7,65.8,46.4,3,9.0,No,Yes,Low,50.1
Female,20,7.0,63.6,73.7,8,5.8,Yes,Yes,High,80.3
Male,22,6.9,96.3,91.6,5,6.9,No,Yes,Medium,84.5
Male,19,7.4,59.6,76.4,3,6.9,No,Yes,Medium,63.3
Female,17,2.8,77.8,44.2,7,6.3,No,Yes,Medium,47.6
Male,19,6.3,64.9,59.5,8,5.3,No,No,Medium,55.5
Male,21,4.2,56.8,70.3,8,8.9,No,No,Medium,63.3
Female,20,6.9,56.6,62.2,7,8.3,No,Yes,Low,69.6
Male,19,6.1,62.9,85.9,5,6.7,No,Yes,Medium,64.0
Female,18,6.4,94.0,84.8,8,7.2,Yes,Yes,High,69.1
Female,21,5.6,67.7,73.7,4,5.5,No,Yes,Low,58.1
Male,21,2.2,97.8,60.5,10,6.9,Yes,Yes,Medium,66.9
Male,19,4.8,81.2,54.0,5,7.6,No,Yes,Medium,49.2
Male,19,7.9,74.6,45.8,9,6.8,No,Yes,Medium,67.5
Male,20,7.6,81.1,59.5,7,9.0,No,Yes,High,74.9
Female,17,1.3,78.3,62.7,5,7.3,Yes,Yes,Medium,50.1
Male,19,2.2,89.1,77.2,3,6.2,Yes,Yes,High,53.4
Female,19,1.9,67.7,76.2,10,8.0,No,Yes,Medium,66.1
Male,22,6.1,70.9,43.9,5,5.3,No,No,Low,47.1
Male,18,6.7,95.2,61.7,4,6.2,No,Yes,Medium,55.6
Male,22,2.5,97.6,50.0,10,6.1,Yes,Yes,Medium,50.2
Female,22,4.5,95.2,48.6,3,6.4,No,Yes,Medium,57.1
Male,21,6.9,73.9,85.5,6,8.0,No,Yes,High,77.4
Male,17,6.1,90.1,42.3,7,6.7,Yes,Yes,Medium,61.8
Male,18,4.8,76.4,63.1,10,8.1,Yes,Yes,Medium,66.3
Male,20,5.1,77.4,49.3,7,7.1,No,Yes,Medium,55.5
Female,20,4.6,64.2,88.4,5,6.0,No,Yes,Medium,56.5
Male,19,3.1,81.6,70.6,8,8.1,No,Yes,Medium,60.0
Female,19,5.0,63.4,52.7,3,5.6,No,Yes,Medium,39.1
Female,20,5.8,69.9,67.6,6,5.5,No,Yes,Medium,57.1
Female,19,7.1,93.5,80.2,3,6.8,No,Yes,Medium,65.9
Female,17,5.5,64.3,92.7,7,5.7,Yes,No,Medium,71.0
Female,22,6.3,58.2,52.1,3,4.5,Yes,Yes,High,54.2
Female,19,2.1,58.1,88.7,6,7.4,No,Yes,Medium,60.7
Male,21,4.2,97.3,91.4,8,6.8,No,Yes,Medium,77.5
Female,19,1.1,77.8,90.4,5,6.5,No,Yes,High,63.0
Female,18,2.7,73.4,74.9,4,8.9,No,No,Medium,56.6
Female,17,6.1,91.5,74.6,3,7.1,Yes,Yes,Medium,64.7
Male,18,7.9,92.6,62.2,10,8.4,No,Yes,Low,69.7
Male,18,1.7,69.9,81.4,4,5.1,Yes,Yes,Medium,54.8
Female,21,3.8,86.2,69.2,7,7.1,Yes,Yes,Low,67.4
Male,17,6.6,89.7,77.3,5,8.4,No,Yes,High,74.1
Female,17,2.4,84.5,63.6,9,7.1,No,Yes,High,70.7
Female,17,4.9,61.8,80.2,5,7.7,No,Yes,High,57.5
Male,17,6.1,94.4,85.3,3,6.2,Yes,Yes,High,64.9
Female,17,5.3,79.3,48.1,10,4.9,No,Yes,Medium,64.6
Male,21,2.3,67.7,85.8,8,6.6,Yes,Yes,Medium,63.2
Male,19,3.5,74.1,69.7,5,6.3,Yes,Yes,High,65.3
Female,18,6.5,56.7,86.5,3,8.4,No,Yes,High,67.0
Female,17,4.9,60.8,63.7,3,5.6,No,Yes,Medium,47.1
Male,19,1.0,89.4,60.8,4,8.9,No,Yes,High,51.4
Female,19,6.3,55.0,90.3,5,8.8,Yes,Yes,Medium,62.6
Female,18,1.2,73.7,53.8,3,5.6,No,Yes,Medium,35.4
Female,21,6.2,78.5,86.4,4,6.1,Yes,Yes,Medium,71.3
Male,20,2.4,57.5,66.6,10,8.5,No,Yes,Medium,63.2
Male,20,7.7,98.8,68.3,6,8.8,Yes,Yes,Low,73.4
Female,19,3.6,65.2,57.0,10,6.5,Yes,No,Medium,51.4
Male,22,3.3,68.7,71.5,9,5.9,No,Yes,Medium,58.5
